date,section,species,fork_length,body_mass,maturation,tagloss,injury,handlingmortality,notes,pit_number,pit_number2,smolting,removed
10/2/2020,30,masusalmon,98,10.7,NO,NO,NO,NO,NA,900_226001110272,NA,NA,NA
10/2/2020,30,masusalmon,95,10.2,NO,NO,NO,NO,NA,900_226001110237,NA,NA,NA
10/2/2020,30,masusalmon,99,10.1,NO,NO,NO,NO,NA,900_226001110232,NA,NA,NA
10/2/2020,40,masusalmon,95,9.5,NO,NO,NO,NO,NA,900_226001110224,NA,NA,NA
10/2/2020,50,rainbowtrout,299,302,NO,NO,NO,NO,NA,900_226001110211,NA,NA,NA
10/2/2020,50,masusalmon,157,51.3,sperm,NO,NO,NO,NA,900_226001110229,NA,NA,NA
10/2/2020,50,masusalmon,80,5.8,NO,NO,NO,NO,NA,900_226001110274,NA,NA,NA
10/2/2020,50,masusalmon,117,16.8,NO,NO,NO,NO,NA,900_226001110239,NA,NA,NA
10/2/2020,50,masusalmon,130,27.3,sperm,NO,NO,NO,NA,900_226001110225,NA,NA,NA
10/2/2020,60,masusalmon,105,12.8,NO,NO,NO,NO,NA,900_226001110230,NA,NA,NA
10/2/2020,60,masusalmon,84,6.2,NO,NO,NO,NO,NA,900_226001110280,NA,NA,NA
10/2/2020,60,masusalmon,87,6.8,NO,NO,NO,NO,NA,900_226001110220,NA,NA,NA
10/2/2020,60,masusalmon,100,11.7,NO,NO,NO,NO,NA,900_226001110260,NA,NA,NA
10/2/2020,70,masusalmon,103,13,NO,NO,NO,NO,NA,900_226001110238,NA,NA,NA
10/2/2020,70,masusalmon,117,18.5,NO,NO,NO,NO,NA,900_226001110246,NA,NA,NA
10/2/2020,80,masusalmon,105,14,NO,NO,NO,NO,NA,900_226001110271,NA,NA,NA
10/2/2020,80,masusalmon,90,7.5,NO,NO,NO,NO,NA,900_226001110217,NA,NA,NA
10/2/2020,80,masusalmon,105,13.1,NO,NO,NO,NO,NA,900_226001110242,NA,NA,NA
10/2/2020,80,masusalmon,92,9.9,sperm,NO,NO,NO,NA,900_226001110298,NA,NA,NA
10/2/2020,80,masusalmon,101,11,NO,NO,NO,NO,NA,900_226001110278,NA,NA,NA
10/2/2020,90,masusalmon,102,11.1,NO,NO,NO,NO,NA,900_226001110247,NA,NA,NA
10/2/2020,100,masusalmon,98,10.3,NO,NO,NO,NO,NA,900_226001110243,NA,NA,NA
10/2/2020,100,masusalmon,99,10.5,NO,NO,NO,NO,NA,900_226001110215,NA,NA,NA
10/2/2020,100,masusalmon,79,5.6,NO,NO,NO,NO,NA,900_226001110286,NA,NA,NA
10/2/2020,110,masusalmon,102,11.2,NO,NO,NO,NO,NA,900_226001110228,NA,NA,NA
10/2/2020,110,masusalmon,95,8.4,NO,NO,NO,NO,NA,900_226001110265,NA,NA,NA
10/2/2020,110,masusalmon,88,8.5,NO,NO,NO,NO,NA,900_226001110241,NA,NA,NA
10/2/2020,120,masusalmon,155,51.1,sperm,NO,NO,NO,NA,900_226001573833,NA,NA,NA
10/2/2020,120,masusalmon,88,7.3,NO,NO,NO,NO,NA,900_226001110267,NA,NA,NA
10/2/2020,120,masusalmon,102,11.6,NO,NO,NO,NO,NA,900_226001110208,NA,NA,NA
10/2/2020,120,masusalmon,87,7.1,NO,NO,NO,NO,NA,900_226001110227,NA,NA,NA
10/2/2020,120,masusalmon,135,31.7,sperm,NO,NO,NO,NA,900_226001110221,NA,NA,NA
10/2/2020,120,rainbowtrout,61,2.7,NO,NO,NO,NO,NA,900_226001110205,NA,NA,NA
10/2/2020,130,masusalmon,126,22,sperm,NO,NO,NO,NA,900_226001110206,NA,NA,NA
10/2/2020,130,masusalmon,80,5.8,NO,NO,NO,NO,NA,900_226001110269,NA,NA,NA
10/2/2020,130,masusalmon,107,15.8,sperm,NO,NO,NO,doubletag,900_226001110552,900_226001110226,NA,NA
10/2/2020,130,masusalmon,112,17.2,sperm,NO,NO,NO,NA,900_226001110248,NA,NA,NA
10/2/2020,140,masusalmon,93,9.8,NO,NO,NO,NO,NA,900_226001110200,NA,NA,NA
10/2/2020,140,masusalmon,123,21.3,NO,NO,NO,NO,NA,900_226001110244,NA,NA,NA
10/2/2020,140,masusalmon,97,10.7,NO,NO,NO,NO,NA,900_226001110261,NA,NA,NA
10/2/2020,150,masusalmon,82,6.8,NO,NO,NO,NO,NA,900_226001110277,NA,NA,NA
10/2/2020,150,masusalmon,120,22.9,sperm,NO,NO,NO,NA,900_226001110285,NA,NA,NA
10/2/2020,150,masusalmon,80,6.2,NO,NO,NO,NO,NA,900_226001110214,NA,NA,NA
10/2/2020,150,masusalmon,100,12.5,NO,NO,NO,NO,NA,900_226001110245,NA,NA,NA
10/2/2020,150,masusalmon,63,2.8,NO,NO,NO,NO,NA,900_226001110209,NA,NA,NA
10/2/2020,150,masusalmon,72,4.1,NO,NO,NO,NO,NA,900_226001110251,NA,NA,NA
10/2/2020,160,masusalmon,120,23.6,sperm,NO,NO,NO,NA,900_226001110268,NA,NA,NA
10/2/2020,160,masusalmon,92,8,NO,NO,NO,NO,NA,900_226001110275,NA,NA,NA
10/2/2020,160,masusalmon,102,12.8,NO,NO,NO,NO,NA,900_226001047098,NA,NA,NA
10/2/2020,160,masusalmon,85,7,NO,NO,NO,NO,NA,900_226001110259,NA,NA,NA
10/2/2020,160,masusalmon,81,5.2,NO,NO,NO,NO,NA,900_226001110202,NA,NA,NA
10/2/2020,170,whitespottedchar,152,37.6,NO,NO,NO,NO,NA,900_226001110283,NA,NA,NA
10/2/2020,170,masusalmon,111,16.7,NO,NO,NO,NO,NA,900_226001110295,NA,NA,NA
10/2/2020,170,masusalmon,95,9.2,NO,NO,NO,NO,NA,900_226001110263,NA,NA,NA
10/2/2020,170,masusalmon,90,8.8,NO,NO,NO,NO,NA,900_226001110235,NA,NA,NA
10/2/2020,170,masusalmon,108,16.1,sperm,NO,NO,NO,NA,900_226001110218,NA,NA,NA
10/2/2020,170,masusalmon,125,21.7,NO,NO,NO,NO,NA,900_226001110294,NA,NA,NA
10/2/2020,170,masusalmon,90,7.5,sperm,NO,NO,NO,NA,900_226001110231,NA,NA,NA
10/2/2020,170,masusalmon,125,25.1,sperm,NO,NO,NO,NA,900_226001110257,NA,NA,NA
10/2/2020,170,masusalmon,82,6.6,NO,NO,NO,NO,NA,900_226001110270,NA,NA,NA
10/2/2020,170,masusalmon,129,28.2,sperm,NO,NO,NO,NA,900_226001110279,NA,NA,NA
10/2/2020,170,masusalmon,149,41.5,sperm,NO,NO,NO,NA,900_226001110299,NA,NA,NA
10/2/2020,170,masusalmon,152,44.1,sperm,NO,NO,NO,NA,900_226001047088,NA,NA,NA
10/2/2020,190,masusalmon,130,28.1,sperm,NO,NO,NO,NA,900_226001047398,NA,NA,NA
10/2/2020,190,masusalmon,117,22.4,sperm,NO,NO,NO,NA,900_226001111087,NA,NA,NA
