Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2,life_stage,occasion,smolting,removed
10/2/2020,30,1,masusalmon,NO,NO,98,10.7,NO,NO,NO,NO,NA,900_226001110272,NA,NA,1,NA,NA
10/2/2020,30,NA,sculpin,NO,NO,81,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,30,NA,sculpin,NO,NO,77,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,30,NA,sculpin,NO,NO,96,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,30,NA,sculpin,NO,NO,71,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,30,2,masusalmon,NO,NO,95,10.2,NO,NO,NO,NO,NA,900_226001110237,NA,NA,1,NA,NA
10/2/2020,30,3,masusalmon,NO,NO,99,10.1,NO,NO,NO,NO,NA,900_226001110232,NA,NA,1,NA,NA
10/2/2020,40,4,masusalmon,NO,NO,95,9.5,NO,NO,NO,NO,NA,900_226001110224,NA,NA,1,NA,NA
10/2/2020,40,NA,sculpin,NO,NO,107,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,40,NA,sculpin,NO,NO,63,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,40,NA,sculpin,NO,NO,79,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,50,5,rainbowtrout,NO,NO,299,302,NO,NO,NO,NO,NA,900_226001110211,NA,NA,1,NA,NA
10/2/2020,50,6,masusalmon,NO,NO,157,51.3,sperm,NO,NO,NO,NA,900_226001110229,NA,NA,1,NA,NA
10/2/2020,50,7,masusalmon,NO,NO,80,5.8,NO,NO,NO,NO,NA,900_226001110274,NA,NA,1,NA,NA
10/2/2020,50,8,masusalmon,NO,NO,117,16.8,NO,NO,NO,NO,NA,900_226001110239,NA,NA,1,NA,NA
10/2/2020,50,9,masusalmon,NO,NO,130,27.3,sperm,NO,NO,NO,NA,900_226001110225,NA,NA,1,NA,NA
10/2/2020,50,NA,sculpin,NO,NO,147,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,50,NA,sculpin,NO,NO,113,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,50,NA,sculpin,NO,NO,85,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,50,NA,sculpin,NO,NO,120,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,50,NA,sculpin,NO,NO,99,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,60,10,masusalmon,NO,NO,105,12.8,NO,NO,NO,NO,NA,900_226001110230,NA,NA,1,NA,NA
10/2/2020,60,11,masusalmon,NO,NO,84,6.2,NO,NO,NO,NO,NA,900_226001110280,NA,NA,1,NA,NA
10/2/2020,60,12,masusalmon,NO,NO,87,6.8,NO,NO,NO,NO,NA,900_226001110220,NA,NA,1,NA,NA
