Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2
10/2/2020,10,NA,NA,NO,NO,NA,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,20,NA,NA,NO,NO,NA,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,30,1,masusalmon,NO,NO,98.0 ,10.7,NO,NO,NO,NO,NA,900_226001110272,NA
10/2/2020,30,NA,sculpin,NO,NO,81.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,30,NA,sculpin,NO,NO,77.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,30,NA,sculpin,NO,NO,96.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,30,NA,sculpin,NO,NO,71.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,30,2,masusalmon,NO,NO,95.0 ,10.2,NO,NO,NO,NO,NA,900_226001110237,NA
10/2/2020,30,3,masusalmon,NO,NO,99.0 ,10.1,NO,NO,NO,NO,NA,900_226001110232,NA
10/2/2020,40,4,masusalmon,NO,NO,95.0 ,9.5,NO,NO,NO,NO,NA,900_226001110224,NA
10/2/2020,40,NA,sculpin,NO,NO,107.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,40,NA,sculpin,NO,NO,63.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,40,NA,sculpin,NO,NO,79.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,50,5,rainbowtrout,NO,NO,299.0 ,302,NO,NO,NO,NO,NA,900_226001110211,NA
10/2/2020,50,6,masusalmon,NO,NO,157.0 ,51.3,sperm,NO,NO,NO,NA,900_226001110229,NA
10/2/2020,50,7,masusalmon,NO,NO,80.0 ,5.8,NO,NO,NO,NO,NA,900_226001110274,NA
10/2/2020,50,8,masusalmon,NO,NO,117.0 ,16.8,NO,NO,NO,NO,NA,900_226001110239,NA
10/2/2020,50,9,masusalmon,NO,NO,130.0 ,27.3,sperm,NO,NO,NO,NA,900_226001110225,NA
10/2/2020,50,NA,sculpin,NO,NO,147.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,50,NA,sculpin,NO,NO,113.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,50,NA,sculpin,NO,NO,85.0 ,NA,NO,NO,NO,NO,NA,NA,NA
