Date,Section,Spp,recap,recapinsurvey,FL,BM,maturation,smolting,tagloss,handlingmortality,notes,removed,PITNumber
4/2/2021,10,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,20,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,20,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,20,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,20,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,20,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,30,sculpin,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,30,masusalmon,YES,NO,122,17.8,NO,NO,NO,NO,NA,NO,900_226001109196
4/2/2021,30,masusalmon,NO,NO,108,16.3,NO,NO,NO,NO,NA,NO,NA
4/2/2021,40,sculpin,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,40,sculpin,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,40,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,40,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,40,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,sculpin,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,sculpin,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,sculpin,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,sculpin,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,sculpin,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,masusalmon0+,NO,NO,NA,NA,NO,NO,NO,NO,NA,NO,NA
4/2/2021,50,masusalmon,YES,NO,103,11.3,NO,NO,NO,NO,NA,NO,900_226001109594
4/2/2021,50,masusalmon,YES,NO,118,18.2,NO,NO,NO,NO,NA,NO,900_226001110260
