Detect,Date,Time,Seconds,HDX,PITNumber,DetScan,EmplyScan,Dummy,Section
S,2021/2/25,9:18:29,00:00.1,HW,0000_247616116535,1,0,NO,10
S,2021/2/25,9:19:22,00:00.4,HA,900_226000285711,0.6,0,YES,10
S,2021/2/25,9:20:09,00:00.0,HW,0000_495232233070,0.6,0,NO,20
S,2021/2/25,9:20:09,00:00.4,HA,900_226000285788,0.6,0,YES,20
S,2021/2/25,9:21:14,00:00.6,HA,900_226001109196,0.6,0,NO,20
S,2021/2/25,9:23:09,00:00.7,HA,900_226000285767,0.5,0,YES,30
S,2021/2/25,9:23:55,00:01.3,HA,900_226000285746,0.5,0,YES,40
S,2021/2/25,9:23:55,00:01.2,HR,1024_123808058267,0.5,0,NO,40
S,2021/2/25,9:23:58,00:00.2,HR,1024_123808058267,0.5,0,NO,40
S,2021/2/25,9:23:58,00:00.8,HA,900_226000285746,0.5,0,YES,40
S,2021/2/25,9:24:29,00:01.1,HA,900_226001110260,0.5,0,NO,50
S,2021/2/25,9:24:58,00:00.3,HA,900_226000285779,0.5,0,YES,50
S,2021/2/25,9:25:37,00:00.4,HA,900_226000285776,0.5,0,YES,60
S,2021/2/25,9:26:09,00:00.6,HA,900_226000285789,0.5,0,YES,70
S,2021/2/25,9:27:42,00:00.4,HA,900_226000285747,0.5,0,YES,80
S,2021/2/25,9:28:00,00:00.0,HA,900_226000493072,0.5,0,NO,90
S,2021/2/25,9:28:15,00:00.4,HA,900_226001110228,0.5,0,NO,90
S,2021/2/25,9:28:20,00:00.6,HA,900_226001110286,0.6,0,NO,90
S,2021/2/25,9:28:38,00:00.0,HA,900_226000285724,0.5,0,YES,90
S,2021/2/25,9:29:05,00:00.4,HA,900_226000285752,0.4,0,YES,100
S,2021/2/25,9:29:58,00:00.2,HA,900_226000285951,0.5,0,NO,110
S,2021/2/25,9:30:01,00:00.7,HA,900_226000285951,0.5,0,NO,110
S,2021/2/25,9:30:20,00:00.4,HA,900_226000285711,0.4,0,YES,110
S,2021/2/25,9:30:30,00:01.2,HA,900_226000285711,0.4,0,YES,110
S,2021/2/25,9:31:19,00:00.2,HA,900_226000285788,0.6,0,YES,120
S,2021/2/25,9:31:39,00:00.6,HA,900_226001110269,0.5,0,NO,130
S,2021/2/25,9:32:04,00:03.0,HW,0000_247616116742,0.5,0,NO,130
S,2021/2/25,9:32:07,00:00.1,HA,900_226001110265,0.5,0,NO,130
S,2021/2/25,9:32:21,00:00.5,HA,900_226000285767,0.5,0,YES,130
S,2021/2/25,9:33:44,00:00.3,HA,900_226000285746,0.5,0,YES,140
S,2021/2/25,9:33:45,00:00.1,HA,900_226001110214,0.5,0,NO,150
S,2021/2/25,9:34:09,00:00.1,HA,900_226001109466,0.4,0,NO,150
S,2021/2/25,9:34:12,00:00.3,HA,900_226001109466,0.4,0,NO,150
S,2021/2/25,9:34:18,00:00.5,HA,900_226000285779,0.5,0,YES,150
S,2021/2/25,9:34:24,00:00.8,HA,900_226001110275,0.5,0,NO,160
